learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead,splits
1000.0,0.0,0.0,1000.0,61.1,60.365897146955916,5.582524271844664,52.034525277435264,1000.0,38664.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.015625,4.80374890483088E-10,2000.0,63.7,60.70033518391811,30.057803468208093,45.90163934426229,2000.0,118840.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
3000.0,0.046875,2.162382265345918E-9,3000.0,72.39999999999999,70.64454371410338,29.048843187660665,62.702702702702695,3000.0,208056.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0,4.0
4000.0,0.0625,3.517682974537214E-9,4000.0,80.9,80.79456214618254,31.541218637992856,79.01098901098902,4000.0,335288.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0,7.0
5000.0,0.0625,3.517682974537214E-9,5000.0,78.8,78.67851015083949,38.01169590643275,77.03141928494041,5000.0,339608.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0,7.0
6000.0,0.078125,4.89917713113957E-9,6000.0,63.4,63.35683435086532,20.60737527114967,62.22910216718266,6000.0,341768.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0,7.0
7000.0,0.140625,9.783187932852242E-9,7000.0,66.2,64.65008288405123,30.595482546201236,58.5276073619632,7000.0,302064.0,17.0,7.0,6.0,3.0,0.0,0.0,1.0,10.0
8000.0,0.140625,9.783187932852242E-9,8000.0,68.60000000000001,67.63153554346033,31.2910284463895,61.37761377613777,8000.0,302064.0,17.0,7.0,6.0,3.0,0.0,0.0,1.0,10.0
9000.0,0.140625,9.783187932852242E-9,9000.0,67.10000000000001,65.08331714854873,36.24031007751939,57.657657657657666,9000.0,345616.0,19.0,8.0,7.0,4.0,0.0,0.0,1.0,11.0
10000.0,0.1875,1.3974333544158275E-8,10000.0,74.1,74.09720249786977,36.206896551724135,73.78542510121457,10000.0,345616.0,19.0,8.0,7.0,4.0,0.0,0.0,1.0,11.0
11000.0,0.1875,1.3974333544158275E-8,11000.0,64.8,64.69418848288319,25.265392781316347,63.44755970924195,11000.0,388752.0,23.0,10.0,9.0,4.0,0.0,0.0,1.0,13.0
12000.0,0.203125,1.6021044252233374E-8,12000.0,68.2,67.61315028313032,32.76955602536999,62.544169611307424,12000.0,506336.0,27.0,12.0,11.0,6.0,0.0,0.0,1.0,15.0
13000.0,0.21875,1.8130651571684417E-8,13000.0,68.4,67.85939502430888,37.549407114624515,63.04093567251462,13000.0,521896.0,27.0,12.0,11.0,6.0,0.0,0.0,1.0,15.0
14000.0,0.234375,2.0377855334017016E-8,14000.0,61.4,60.51926373540951,39.49843260188088,54.95915985997666,14000.0,555936.0,29.0,13.0,12.0,7.0,0.0,0.0,1.0,16.0
15000.0,0.28125,2.7699505962017515E-8,15000.0,72.2,71.94783912590273,51.22807017543859,69.07675194660735,15000.0,603768.0,31.0,14.0,13.0,7.0,0.0,0.0,1.0,17.0
16000.0,0.328125,3.5449467961572946E-8,16000.0,84.7,84.68052895229837,-73.86363636363646,84.21052631578947,16000.0,639088.0,35.0,16.0,15.0,8.0,0.0,0.0,1.0,19.0
17000.0,0.359375,3.846591830046641E-8,17000.0,84.5,84.36831871687092,-216.32653061224465,83.13384113166485,17000.0,373120.0,30.0,10.0,8.0,5.0,0.0,0.0,1.0,20.0
18000.0,0.390625,4.1781620691633895E-8,18000.0,82.1,81.88244439226227,-496.66666666666634,80.62770562770562,18000.0,410136.0,32.0,11.0,9.0,5.0,0.0,0.0,1.0,21.0
19000.0,0.421875,4.540013226990899E-8,19000.0,89.5,89.47784033173865,-377.27272727272674,89.0738813735692,19000.0,447592.0,34.0,12.0,10.0,6.0,0.0,0.0,1.0,22.0
20000.0,0.4375,4.720938805904654E-8,20000.0,86.2,86.19341425860135,-557.1428571428565,86.07467204843591,20000.0,447592.0,34.0,12.0,10.0,6.0,0.0,0.0,1.0,22.0
21000.0,0.46875,5.108517749855916E-8,21000.0,88.3,88.3,-349.99999999999955,88.3,21000.0,479416.0,36.0,13.0,11.0,6.0,0.0,0.0,1.0,23.0
22000.0,0.5,5.5180280469357975E-8,22000.0,95.3,95.3,-327.2727272727273,95.3,22000.0,506544.0,40.0,15.0,13.0,7.0,0.0,0.0,1.0,25.0
23000.0,0.546875,6.176114159946641E-8,23000.0,91.60000000000001,91.60000000000001,-424.9999999999993,91.60000000000001,23000.0,542680.0,42.0,16.0,14.0,7.0,0.0,0.0,1.0,26.0
24000.0,0.5625,6.396190858342582E-8,24000.0,91.2,91.2,-225.9259259259255,91.2,24000.0,544448.0,44.0,17.0,15.0,7.0,0.0,0.0,1.0,27.0
25000.0,0.578125,6.631915716247427E-8,25000.0,92.0,92.0,-263.6363636363631,92.0,25000.0,583160.0,44.0,17.0,15.0,7.0,0.0,0.0,1.0,27.0
26000.0,0.625,7.383978097803064E-8,26000.0,85.2,85.2,-410.3448275862065,85.2,26000.0,620176.0,46.0,18.0,16.0,8.0,0.0,0.0,1.0,28.0
27000.0,0.640625,7.63466555832161E-8,27000.0,88.8,88.8,-299.9999999999996,88.8,27000.0,620176.0,46.0,18.0,16.0,8.0,0.0,0.0,1.0,28.0
28000.0,0.671875,8.136040479358701E-8,28000.0,77.7,77.7,-384.78260869565173,77.7,28000.0,620176.0,46.0,18.0,16.0,8.0,0.0,0.0,1.0,28.0
