learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.0,0.0,1000.0,48.6,35.016827354628596,33.246753246753244,15.875613747954171,1000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.0,0.0,2000.0,45.300000000000004,30.843881643159488,26.8716577540107,8.833333333333332,2000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.0,0.0,3000.0,44.2,29.541718121415535,28.8265306122449,8.674304418985269,3000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.0,0.0,4000.0,43.6,28.20673405559395,28.061224489795915,7.389162561576352,4000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.0,0.0,5000.0,46.400000000000006,32.592945650547236,31.979695431472084,12.418300653594773,5000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.0,0.0,6000.0,45.7,32.49576699975385,31.525851197982348,14.353312302839122,6000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.0,0.0,7000.0,46.9,32.187372292603186,30.859374999999993,13.798701298701294,7000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.0,0.0,8000.0,46.1,31.75876279523197,31.3375796178344,12.783171521035602,8000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.0,0.0,9000.0,45.300000000000004,30.938703364686575,29.510309278350515,10.766721044045678,9000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.0,0.0,10000.0,44.800000000000004,31.785827269851314,30.390920554854983,13.343799058084777,10000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.0,0.0,11000.0,46.5,31.831329046989236,33.78712871287129,13.008130081300814,11000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.0,0.0,12000.0,49.4,36.147391002586915,32.44325767690254,15.666666666666663,12000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.0,0.0,13000.0,45.1,28.965234369440303,27.091633466135463,5.831903945111498,13000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.0,0.0,14000.0,44.4,28.809674713990308,26.745718050065875,7.487520798668883,14000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.0,0.0,15000.0,47.9,32.29431311216142,33.4610472541507,12.583892617449658,15000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,0.0,0.0,16000.0,45.0,31.26477807271437,29.214929214929214,13.24921135646688,16000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17000.0,0.0,0.0,17000.0,44.800000000000004,30.356669736692698,29.13992297817715,11.680000000000001,17000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18000.0,0.0,0.0,18000.0,45.2,30.38803588827026,31.242158092848182,12.599681020733655,18000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19000.0,0.0,0.0,19000.0,47.0,31.88851306198402,29.14438502673796,10.774410774410766,19000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.0,0.0,20000.0,46.0,32.16813258869017,30.680359435173298,12.05211726384365,20000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21000.0,0.0,0.0,21000.0,45.4,31.592663125187944,31.407035175879393,14.420062695924768,21000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22000.0,0.0,0.0,22000.0,46.5,32.418349365553574,31.93384223918575,12.724306688417622,22000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23000.0,0.0,0.0,23000.0,46.5,32.336551668315046,32.957393483709275,14.673046251993624,23000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24000.0,0.0,0.0,24000.0,45.9,32.34827756964001,30.818414322250643,14.937106918239,24000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.0,0.0,25000.0,45.0,29.45018605910022,29.936305732484076,9.539473684210526,25000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26000.0,0.015625,1.7268272737662E-11,26000.0,49.3,34.44081376148094,35.41401273885351,16.059602649006617,26000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27000.0,0.015625,1.7268272737662E-11,27000.0,46.9,31.955790485343577,31.92307692307692,12.66447368421052,27000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28000.0,0.015625,1.7268272737662E-11,28000.0,42.4,28.798348517250332,27.364438839848678,10.697674418604652,28000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29000.0,0.015625,1.7268272737662E-11,29000.0,40.699999999999996,26.785784836632292,24.26564495530012,7.632398753894079,29000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,0.03125,3.4536545475324E-11,30000.0,43.9,30.380092429424522,31.334149326805388,15.0,30000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31000.0,0.03125,3.4536545475324E-11,31000.0,40.2,26.327823935818966,25.89838909541512,9.803921568627452,31000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32000.0,0.03125,3.4536545475324E-11,32000.0,42.3,31.260424112461276,27.965043695380775,17.806267806267808,32000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33000.0,0.046875,5.1804818212986E-11,33000.0,41.8,29.922493314340965,29.71014492753623,17.563739376770542,33000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34000.0,0.046875,5.1804818212986E-11,34000.0,44.1,31.526146232713103,29.419191919191917,16.567164179104477,34000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,0.046875,5.1804818212986E-11,35000.0,45.4,31.960921144452204,32.25806451612903,16.000000000000007,35000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36000.0,0.0625,6.9073090950648E-11,36000.0,44.4,31.612325525330505,31.695331695331696,16.516516516516518,36000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37000.0,0.0625,6.9073090950648E-11,37000.0,42.8,31.157907152236103,31.25,16.4963503649635,37000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38000.0,0.0625,6.9073090950648E-11,38000.0,42.3,28.068854437291495,29.54822954822955,11.773700305810399,38000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39000.0,0.078125,8.634136368830999E-11,39000.0,43.6,29.86034249045528,30.024813895781634,14.545454545454541,39000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,0.078125,8.634136368830999E-11,40000.0,44.3,29.144415638603444,30.635118306351185,11.446740858505567,40000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41000.0,0.078125,8.634136368830999E-11,41000.0,42.699999999999996,28.677940447947343,28.908188585607935,13.834586466165408,41000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42000.0,0.09375,1.0360963642597199E-10,42000.0,44.1,30.859017950681082,29.59697732997481,15.045592705167172,42000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43000.0,0.09375,1.0360963642597199E-10,43000.0,45.6,33.50990690164722,33.65853658536586,20.351390922401173,43000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44000.0,0.09375,1.0360963642597199E-10,44000.0,45.0,32.28719095258379,32.34932349323494,16.79273827534039,44000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,0.09375,1.0360963642597199E-10,45000.0,43.2,29.035216273924064,29.265255292652554,12.210200927357034,45000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46000.0,0.109375,1.2087790916363398E-10,46000.0,43.8,32.35362443743372,30.702836004932184,20.056899004267425,46000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47000.0,0.109375,1.2087790916363398E-10,47000.0,43.5,28.533391349884074,28.930817610062892,13.8719512195122,47000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48000.0,0.109375,1.2087790916363398E-10,48000.0,47.4,33.9182697139641,34.332084893882644,17.812499999999996,48000.0,4272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
